song_id,release_year,key,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,popularity,artist_type,genre,hit,duration_log,followers_log
2HWelwHQS4EdRqIycZOc3O,2018,"F♯, G♭",0.165,0.635,0.324,4.18e-06,0.108,-9.51,0.0769,0.0741,117.863,65.0,singer,soul/r&b,0,12.641488064990705,12.994432273846096
2HWyXrAd2voTlSFVVqFAVi,1995,F,0.632,0.606,0.532,0.0,0.164,-10.426,0.0657,0.433,161.085,59.0,singer,pop,0,12.359943286150113,11.648530955166525
2HXixVqzzm9rEUIMAWzshl,1988,A,0.0846,0.611,0.883,1.2e-06,0.192,-11.225,0.0539,0.604,117.928,66.0,band,rock,1,12.416337622869019,12.735797547518933
2HXnjMxrO4QccqE3Grwmd0,1969,C,0.603,0.476,0.194,0.0135,0.23,-20.311,0.0335,0.371,145.945,78.0,singer,rock,0,11.871075320691634,15.075140182636064
2HcT0IGf27ov1w9ncWtij6,1966,C,0.386,0.669,0.605,0.0,0.605,-7.283,0.0305,0.885,136.801,35.0,singer,kids,0,12.10795252152784,5.883322388488279
2HcuN3twwXK87xnaHfNnP2,1978,G,0.189,0.593,0.933,0.0,0.119,-7.813,0.039,0.928,132.355,66.0,band,disco,0,12.484719018725755,12.94779806304266
2HcxRZpcVJgriNCUn65MzJ,1965,C,0.988,0.497,0.236,0.883,0.372,-13.757,0.0331,0.733,111.647,14.0,-,unknown,0,11.83973690024913,5.537334267018537
2HerxRQish8VLHvu20oxz2,2003,"C♯, D♭",0.0122,0.363,0.906,0.0,0.172,-4.415,0.0615,0.371,181.964,65.0,band,metal,1,12.351042741030522,13.023892407562045
2HklyUw3TR56nVyVJAIhw5,2015,C,0.00689,0.633,0.8,4.51e-05,0.609,-3.308,0.0357,0.909,97.021,82.0,band,rock,0,12.310612824804098,15.03797954832823
2HmMklpgK8vGCpJmPpz1yG,1999,G,0.0986,0.723,0.674,1.83e-05,0.279,-7.427,0.0297,0.61,124.9,78.0,singer,country,1,12.145265819615581,14.77364164565276
2Ho2TodvMsWVtlAbBcH9k3,1970,"D♯, E♭",0.0831,0.241,0.316,0.0192,0.0655,-12.582,0.0334,0.614,190.533,47.0,singer,pop,0,11.953165521010277,10.017128689025176
2HqCaO7BV010qXS5FuiTED,2004,"A♯, B♭",0.228,0.472,0.709,2.2e-05,0.114,-6.471,0.051,0.84,169.867,69.0,singer,country,0,12.431725047046143,14.167664899358998
