song_id,score,release_year,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,explicit,song_type,followers,popularity,artist_type,main_genre
01BlGnXpLuC0BjgUxVYZFb,162,2010,264400,0,1,4,0.00212,0.662,0.8,0.0,0.251,-4.775,0.038,0.649,103.166,False,Solo,29740214.0,94.0,singer,canadian pop
01C5aCltIDncPqMjWDcx2L,5,2005,304293,10,0,4,0.218,0.83,0.763,0.0,0.314,-3.826,0.164,0.924,87.922,False,Solo,3699663.0,81.0,singer,motown
01CnYyPXMFRzOFVQBU8WMb,1287,2003,243160,8,1,4,0.0626,0.613,0.801,1.15e-05,0.124,-4.431,0.0354,0.609,126.966,False,Solo,649177.0,61.0,singer,contemporary country
01Da7Gqp2RFtQqD3KY5fiE,68,1972,184467,8,1,4,0.722,0.556,0.578,0.0,0.625,-13.852,0.132,0.813,85.279,False,Solo,120055.0,60.0,duo,brill building pop
01F8B0dhzGdWvmcSO6vUdi,683,1998,315507,1,1,4,0.141,0.805,0.638,0.0,0.322,-5.864,0.0803,0.644,94.52,False,Solo,566612.0,76.0,singer,hip hop
01IpNtCBRCrPj91rgARPl3,951,1964,116560,7,0,4,0.186,0.74,0.386,0.0,0.152,-13.701,0.0383,0.886,120.247,False,Solo,7073.0,40.0,band,beach music
01KH1e2NXBBW5XpAFwEe7F,980,1967,198893,9,1,4,0.0124,0.662,0.802,0.0719,0.26,-10.402,0.0511,0.719,143.952,False,Solo,126515.0,57.0,band,art rock
01KVTFUEdqlhQQO7PwhaLl,1434,1973,166555,10,1,4,0.0133,0.687,0.676,0.00456,0.0894,-11.651,0.0316,0.863,117.459,False,Solo,1508.0,36.0,-,karaoke
01LUIYDKWEyvAEjAD2W5Bz,379,1979,236387,2,1,4,0.194,0.92,0.698,1.46e-05,0.0658,-11.415,0.247,0.813,111.813,False,Solo,150455.0,57.0,-,east coast hip hop
01Lr5YepbgjXAWR9iOEyH1,675,2013,246213,0,0,4,0.0407,0.778,0.42,0.0,0.11,-8.224,0.0919,0.2,131.957,True,Solo,1718740.0,75.0,rapper,chicago drill
01MXkFA8sL7at6txavDErt,2319,1983,341747,7,1,4,0.202,0.388,0.72,0.000288,0.283,-5.541,0.033,0.554,141.283,False,Solo,1219164.0,72.0,duo,adult standards
01PZn2ZIyyFWEbp2NlyXyq,68,1974,160732,0,1,4,0.0507,0.718,0.588,0.0,0.589,-11.36,0.0532,0.65,109.103,False,Solo,60.0,11.0,-,-
01PnRJeFSeOgIpBuv1kQKd,548,1969,164293,2,1,4,0.053,0.71,0.665,0.0207,0.177,-7.632,0.0277,0.796,127.472,False,Solo,2850682.0,81.0,band,album rock
01Q4wU19hamqnhNjtuvTyI,1230,1987,287400,9,0,4,0.0652,0.382,0.458,0.00167,0.259,-13.559,0.0286,0.157,67.233,False,Solo,670385.0,60.0,band,album rock
01QicLin8hNjIcUDuE0nRP,1015,1964,154000,3,1,4,0.66,0.401,0.426,0.0,0.165,-10.8,0.0315,0.395,129.86,False,Solo,17240.0,34.0,band,adult standards
01R0Xdwje645C6xFCnMRvm,1333,1987,223960,11,1,4,0.0211,0.507,0.804,0.00248,0.381,-13.267,0.044,0.708,157.996,False,Solo,1581135.0,68.0,band,album rock
01R9hVkJG2WDGOkH6UfJBL,712,1990,224040,10,0,4,0.0956,0.777,0.677,0.00133,0.141,-6.907,0.105,0.883,123.892,False,Solo,,9.0,-,-
01RcP6fQNIPpQoHncRthSN,755,1971,212413,9,1,4,0.476,0.666,0.625,4.3e-06,0.0702,-7.011,0.0267,0.655,112.744,False,Solo,881545.0,73.0,singer,adult standards
01TnVDiet1DFTsyWKUKovl,64,2018,186268,11,0,4,0.1,0.414,0.416,0.179,0.131,-8.024,0.0251,0.196,159.91,False,Solo,14877177.0,93.0,rapper,emo rap
